"Year","Income Group","ODA","Share","Donor"
"2018","Lower-middle income countries",113.905789,"22%","Finland"
"2019","Lower-middle income countries",103.768141,"16%","Finland"
"2020","Lower-middle income countries",119.361075,"17%","Finland"
"2021","Lower-middle income countries",108.28593,"15%","Finland"
"2022","Lower-middle income countries",166.422689,"15%","Finland"
"2018","Part I Unallocated by income",56.986303,"11%","Finland"
"2019","Part I Unallocated by income",70.675391,"11%","Finland"
"2020","Part I Unallocated by income",149.096342,"21%","Finland"
"2021","Part I Unallocated by income",116.168727,"16%","Finland"
"2022","Part I Unallocated by income",143.065199,"13%","Finland"
"2018","Low income countries",111.615096,"21%","Finland"
"2019","Low income countries",152.766017,"23%","Finland"
"2020","Low income countries",165.718272,"24%","Finland"
"2021","Low income countries",161.54891,"23%","Finland"
"2022","Low income countries",139.034974,"13%","Finland"
"2018","Upper-middle income countries",52.057457,"10%","Finland"
"2019","Upper-middle income countries",41.12595,"6%","Finland"
"2020","Upper-middle income countries",35.212291,"5%","Finland"
"2021","Upper-middle income countries",32.359561,"5%","Finland"
"2022","Upper-middle income countries",32.949728,"3%","Finland"
"2018","Countries not classified",0,"0%","Finland"
"2019","Countries not classified",0,"0%","Finland"
"2020","Countries not classified",0.60636,"0%","Finland"
"2021","Countries not classified",0,"0%","Finland"
"2022","Countries not classified",0,"0%","Finland"
"2018","High income countries",0.062257,"0%","Finland"
"2019","High income countries",0.033721,"0%","Finland"
"2020","High income countries",0,"0%","Finland"
"2021","High income countries",0,"0%","Finland"
"2022","High income countries",0,"0%","Finland"
